,lemmatised_John
0,HOLY
1,GOSPEL
2,JESUS
3,CHRIST
4,ACCORDING
5,ST.
6,JOHN
7,St.
8,John
9,Apostle
10,Evangelist
11,son
12,Zebedee
13,Salome
14,","
15,brother
16,James
17,Greater
18,.
19,called
20,Beloved
21,disciple
22,Christ
23,stood
24,Crucifixion
25,.
26,wrote
27,Gospel
28,Evangelists
29,","
30,sixty-three
31,year
32,Lord
33,’
34,Ascension
35,.
36,Many
37,thing
38,omitted
39,supplied
40,.
41,original
42,written
43,Greek
44,;
45,Greeks
46,titled
47,:
48,Divine
49,.
50,St.
51,Jerome
52,relates
53,","
54,earnestly
55,requested
56,brother
57,write
58,Gospel
59,","
60,answered
61,would
62,","
63,ordering
64,common
65,fast
66,","
67,would
68,put
69,prayer
70,together
71,Almighty
72,God
73,;
74,ended
75,replenished
76,clearest
77,fullest
78,revelation
79,coming
80,Heaven
81,","
82,burst
83,forth
84,preface
85,:
86,BEGINNING
87,WORD
88,.
89,John
90,Chapter
91,1
92,divinity
93,incarnation
94,Christ
95,.
96,John
97,bear
98,witness
99,.
100,begin
101,call
102,disciple
103,.
104,1:1
105,.
106,beginning
107,Word
108,:
109,Word
110,God
111,:
112,Word
113,God
114,.
115,1:2
116,.
117,beginning
118,God
119,.
120,1:3
121,.
122,thing
123,made
124,:
125,without
126,made
127,nothing
128,made
129,.
130,1:4
131,.
132,life
133,:
134,life
135,light
136,men
137,.
138,1:5
139,.
140,light
141,shineth
142,darkness
143,:
144,darkness
145,comprehend
146,.
147,1:6
148,.
149,man
150,sent
151,God
152,","
153,whose
154,name
155,John
156,.
157,1:7
158,.
159,man
160,came
161,witness
162,","
163,give
164,testimony
165,light
166,","
167,men
168,might
169,believe
170,.
171,1:8
172,.
173,light
174,","
175,give
176,testimony
177,light
178,.
179,1:9
180,.
181,true
182,light
183,","
184,enlighteneth
185,every
186,man
187,cometh
188,world
189,.
190,1:10
191,.
192,world
193,:
194,world
195,made
196,:
197,world
198,knew
199,.
200,1:11
201,.
202,came
203,unto
204,:
205,received
206,.
207,1:12
208,.
209,many
210,received
211,","
212,gave
213,power
214,made
215,son
216,God
217,","
218,believe
219,name
220,.
221,1:13.
222,born
223,","
224,blood
225,","
226,flesh
227,","
228,man
229,","
230,God
231,.
232,1:14
233,.
234,Word
235,made
236,flesh
237,dwelt
238,among
239,u
240,(
241,saw
242,glory
243,","
244,glory
245,begotten
246,Father
247,)
248,","
249,full
250,grace
251,truth
252,.
253,1:15
254,.
255,John
256,beareth
257,witness
258,crieth
259,","
260,saying
261,:
262,spoke
263,:
264,shall
265,come
266,preferred
267,:
268,.
269,1:16
270,.
271,fulness
272,received
273,:
274,grace
275,grace
276,.
277,1:17
278,.
279,law
280,given
281,Moses
282,:
283,grace
284,truth
285,came
286,Jesus
287,Christ
288,.
289,1:18
290,.
291,man
292,hath
293,seen
294,God
295,time
296,:
297,begotten
298,Son
299,Bosom
300,Father
301,","
302,hath
303,declared
304,.
305,1:19
306,.
307,testimony
308,John
309,","
310,Jews
311,sent
312,Jerusalem
313,priest
314,Levites
315,","
316,ask
317,:
318,art
319,thou
320,?
321,1:20
322,.
323,confessed
324,deny
325,:
326,confessed
327,:
328,Christ
329,.
330,1:21
331,.
332,asked
333,:
334,?
335,Art
336,thou
337,Elias
338,?
339,said
340,:
341,.
342,Art
343,thou
344,prophet
345,?
346,answered
347,:
348,.
349,1:22
350,.
351,said
352,therefore
353,unto
354,:
355,art
356,thou
357,","
358,may
359,give
360,answer
361,sent
362,u
363,?
364,sayest
365,thou
366,thyself
367,?
368,1:23
369,.
370,said
371,:
372,voice
373,one
374,cry
375,wilderness
376,","
377,make
378,straight
379,way
380,Lord
381,","
382,said
383,prophet
384,Isaias
385,.
386,1:24
387,.
388,sent
389,Pharisees
390,.
391,1:25
392,.
393,asked
394,said
395,:
396,dost
397,thou
398,baptize
399,","
400,thou
401,Christ
402,","
403,Elias
404,","
405,prophet
406,?
407,1:26
408,.
409,John
410,answered
411,","
412,saying
413,:
414,baptize
415,water
416,:
417,hath
418,stood
419,one
420,midst
421,","
422,know
423,.
424,1:27
425,.
426,shall
427,come
428,","
429,preferred
430,:
431,latchet
432,whose
433,shoe
434,worthy
435,loose
436,.
437,1:28
438,.
439,thing
440,done
441,Bethania
442,","
443,beyond
444,Jordan
445,","
446,John
447,baptizing
448,.
449,1:29
450,.
451,next
452,day
453,","
454,John
455,saw
456,Jesus
457,coming
458,;
459,saith
460,:
461,Behold
462,Lamb
463,God
464,.
465,Behold
466,taketh
467,away
468,sin
469,world
470,.
471,1:30
472,.
473,said
474,:
475,cometh
476,man
477,","
478,preferred
479,:
480,.
481,1:31
482,.
483,knew
484,:
485,may
486,made
487,manifest
488,Israel
489,","
490,therefore
491,come
492,baptizing
493,water
494,.
495,1:32
496,.
497,John
498,gave
499,testimony
500,","
501,saying
502,:
503,saw
504,Spirit
505,coming
506,","
507,dove
508,heaven
509,;
510,remained
511,upon
512,.
513,1:33
514,.
515,knew
516,:
517,sent
518,baptize
519,water
520,said
521,:
522,upon
523,thou
524,shalt
525,see
526,Spirit
527,descending
528,remaining
529,upon
530,","
531,baptizeth
532,Holy
533,Ghost
534,.
535,1:34
536,.
537,saw
538,:
539,gave
540,testimony
541,Son
542,God
543,.
544,1:35
545,.
546,next
547,day
548,John
549,stood
550,two
551,disciple
552,.
553,1:36
554,.
555,beholding
556,Jesus
557,walking
558,","
559,saith
560,:
561,Behold
562,Lamb
563,God
564,.
565,1:37
566,.
567,two
568,disciple
569,heard
570,speak
571,:
572,followed
573,Jesus
574,.
575,1:38
576,.
577,Jesus
578,turning
579,seeing
580,following
581,","
582,saith
583,:
584,seek
585,?
586,said
587,:
588,Rabbi
589,(
590,say
591,","
592,interpreted
593,","
594,Master
595,)
596,","
597,dwellest
598,thou
599,?
600,1:39
601,.
602,saith
603,:
604,Come
605,see
606,.
607,came
608,saw
609,abode
610,:
611,stayed
612,day
613,.
614,tenth
615,hour
616,.
617,1:40
618,.
619,Andrew
620,","
621,brother
622,Simon
623,Peter
624,","
625,one
626,two
627,heard
628,John
629,followed
630,.
631,1:41
632,.
633,findeth
634,first
635,brother
636,Simon
637,saith
638,:
639,found
640,Messias
641,","
642,","
643,interpreted
644,","
645,Christ
646,.
647,1:42
648,.
649,brought
650,Jesus
651,.
652,Jesus
653,looking
654,upon
655,","
656,said
657,:
658,Thou
659,art
660,Simon
661,son
662,Jona
663,.
664,Thou
665,shalt
666,called
667,Cephas
668,","
669,interpreted
670,Peter
671,.
672,1:43
673,.
674,following
675,day
676,","
677,would
678,go
679,forth
680,Galilee
681,:
682,findeth
683,Philip
684,","
685,Jesus
686,saith
687,:
688,follow
