,lemmatised_Luke
0,HOLY
1,GOSPEL
2,JESUS
3,CHRIST
4,ACCORDING
5,ST.
6,LUKE
7,St.
8,Luke
9,native
10,Antioch
11,","
12,capital
13,Syria
14,.
15,profession
16,physician
17,;
18,ancient
19,writer
20,say
21,","
22,skillful
23,painting
24,.
25,converted
26,St.
27,Paul
28,became
29,disciple
30,companion
31,travel
32,","
33,fellow-labourer
34,ministry
35,Gospel
36,.
37,wrote
38,Greek
39,","
40,twenty-four
41,year
42,Lord
43,’
44,Ascension
45,.
46,Luke
47,Chapter
48,1
49,conception
50,John
51,Baptist
52,","
53,Christ
54,.
55,visitation
56,canticle
57,Blessed
58,Virgin
59,.
60,birth
61,Baptist
62,canticle
63,Zachary
64,.
65,1:1
66,.
67,Forasmuch
68,many
69,taken
70,hand
71,set
72,forth
73,order
74,narration
75,thing
76,accomplished
77,among
78,u
79,","
80,1:2
81,.
82,According
83,delivered
84,unto
85,u
86,","
87,beginning
88,eyewitness
89,minister
90,word
91,:
92,1:3
93,.
94,seemed
95,good
96,also
97,","
98,diligently
99,attained
100,thing
101,beginning
102,","
103,write
104,thee
105,order
106,","
107,excellent
108,Theophilus
109,","
110,1:4
111,.
112,thou
113,mayest
114,know
115,verity
116,word
117,thou
118,hast
119,instructed
120,.
121,1:5
122,.
123,day
124,Herod
125,","
126,king
127,Judea
128,","
129,certain
130,priest
131,named
132,Zachary
133,","
134,course
135,Abia
136,:
137,wife
138,daughter
139,Aaron
140,","
141,name
142,Elizabeth
143,.
144,course
145,Abia
146,....
147,","
148,rank
149,Abia
150,","
151,word
152,Greek
153,commonly
154,put
155,employment
156,one
157,day
158,:
159,function
160,whole
161,week
162,.
163,","
164,appointment
165,David
166,","
167,1
168,Par
169,.
170,24.
171,","
172,descendant
173,Aaron
174,divided
175,twenty-four
176,family
177,","
178,eighth
179,Abia
180,","
181,descended
182,Zachary
183,","
184,time
185,week
186,priestly
187,function
188,.
189,1:6
190,.
191,God
192,","
193,walking
194,commandment
195,justification
196,Lord
197,without
198,blame
199,.
200,1:7
201,.
202,son
203,","
204,Elizabeth
205,barren
206,:
207,well
208,advanced
209,year
210,.
211,1:8
212,.
213,came
214,pas
215,","
216,executed
217,priestly
218,function
219,order
220,course
221,God
222,","
223,1:9
224,.
225,According
226,custom
227,priestly
228,office
229,","
230,lot
231,offer
232,incense
233,","
234,going
235,temple
236,Lord
237,.
238,1:10
239,.
240,multitude
241,people
242,praying
243,without
244,","
245,hour
246,incense
247,.
248,1:11
249,.
250,appeared
251,angel
252,Lord
253,","
254,standing
255,right
256,side
257,altar
258,incense
259,.
260,1:12
261,.
262,Zachary
263,seeing
264,","
265,troubled
266,:
267,fear
268,fell
269,upon
270,.
271,1:13
272,.
273,angel
274,said
275,:
276,Fear
277,","
278,Zachary
279,","
280,thy
281,prayer
282,heard
283,:
284,thy
285,wife
286,Elizabeth
287,shall
288,bear
289,thee
290,son
291,.
292,thou
293,shalt
294,call
295,name
296,John
297,.
298,1:14
299,.
300,thou
301,shalt
302,joy
303,gladness
304,:
305,many
306,shall
307,rejoice
308,nativity
309,.
310,1:15
311,.
312,shall
313,great
314,Lord
315,shall
316,drink
317,wine
318,strong
319,drink
320,:
321,shall
322,filled
323,Holy
324,Ghost
325,","
326,even
327,mother
328,’
329,womb
330,.
331,1:16
332,.
333,shall
334,convert
335,many
336,child
337,Israel
338,Lord
339,God
340,.
341,1:17
342,.
343,shall
344,go
345,spirit
346,power
347,Elias
348,:
349,may
350,turn
351,heart
352,father
353,unto
354,child
355,incredulous
356,wisdom
357,","
358,prepare
359,unto
360,Lord
361,perfect
362,people
363,.
364,1:18
365,.
366,Zachary
367,said
368,angel
369,:
370,Whereby
371,shall
372,know
373,?
374,old
375,man
376,","
377,wife
378,advanced
379,year
380,.
381,1:19
382,.
383,angel
384,answering
385,","
386,said
387,:
388,Gabriel
389,","
390,stand
391,God
392,sent
393,speak
394,thee
395,bring
396,thee
397,good
398,tidings
399,.
400,1:20
401,.
402,behold
403,","
404,thou
405,shalt
406,dumb
407,shalt
408,able
409,speak
410,day
411,wherein
412,thing
413,shall
414,come
415,pas
416,:
417,thou
418,hast
419,believed
420,word
421,","
422,shall
423,fulfilled
424,time
425,.
426,1:21
427,.
428,people
429,waiting
430,Zachary
431,:
432,wondered
433,tarried
434,long
435,temple
436,.
437,1:22
438,.
439,came
440,","
441,could
442,speak
443,:
444,understood
445,seen
446,vision
447,temple
448,.
449,made
450,sign
451,remained
452,dumb
453,.
454,1:23
455,.
456,came
457,pas
458,","
459,day
460,office
461,accomplished
462,","
463,departed
464,house
465,.
466,1:24
467,.
468,day
469,","
470,Elizabeth
471,wife
472,conceived
473,hid
474,five
475,month
476,","
477,saying
478,:
479,1:25
480,.
481,Thus
482,hath
483,Lord
484,dealt
485,day
486,wherein
487,hath
488,regard
489,take
490,away
491,reproach
492,among
493,men
494,.
495,1:26
496,.
497,sixth
498,month
499,","
500,angel
501,Gabriel
502,sent
503,God
504,city
505,Galilee
506,","
507,called
508,Nazareth
509,","
510,1:27
511,.
512,virgin
513,espoused
514,man
515,whose
516,name
517,Joseph
518,","
519,house
520,David
521,:
522,virgin
523,’
524,name
525,Mary
526,.
527,1:28
528,.
529,angel
530,come
531,","
532,said
533,unto
534,:
535,Hail
536,","
537,full
538,grace
539,","
540,Lord
541,thee
542,:
543,blessed
544,art
545,thou
546,among
547,woman
548,.
549,1:29.
550,heard
551,","
552,troubled
553,saying
554,thought
555,manner
556,salutation
557,.
558,1:30
559,.
560,angel
561,said
562,:
563,Fear
564,","
565,Mary
566,","
567,thou
568,hast
569,found
570,grace
571,God
572,.
573,1:31
574,.
575,Behold
576,thou
577,shalt
578,conceive
579,thy
580,womb
581,shalt
582,bring
583,forth
584,son
585,:
586,thou
587,shalt
588,call
589,name
590,Jesus
591,.
592,1:32
593,.
594,shall
595,great
596,shall
597,called
598,Son
599,High
600,.
601,Lord
602,God
603,shall
604,give
605,unto
606,throne
607,David
608,father
609,:
610,shall
611,reign
612,house
613,Jacob
614,ever
615,.
616,1:33
617,.
618,kingdom
619,shall
620,end
621,.
622,1:34
623,.
624,Mary
625,said
626,angel
627,:
628,shall
629,done
630,","
631,know
632,man
633,?
634,1:35
635,.
636,angel
637,answering
638,","
639,said
640,:
641,Holy
642,Ghost
643,shall
644,come
645,upon
646,thee
647,power
648,High
649,shall
650,overshadow
651,thee
652,.
653,therefore
654,also
655,Holy
656,shall
657,born
658,thee
659,shall
660,called
661,Son
662,God
663,.
664,1:36
665,.
666,behold
667,thy
668,cousin
669,Elizabeth
670,","
671,also
672,hath
673,conceived
674,son
675,old
676,age
677,:
678,sixth
679,month
680,called
681,barren
682,.
