,lemmatised_Mark
0,HOLY
1,GOSPEL
2,JESUS
3,CHRIST
4,ACCORDING
5,ST.
6,MARK
7,St.
8,Mark
9,","
10,disciple
11,interpreter
12,St.
13,Peter
14,(
15,saith
16,St.
17,Jerome
18,)
19,","
20,according
21,heard
22,Peter
23,","
24,wrote
25,Rome
26,brief
27,Gospel
28,request
29,Brethren
30,","
31,ten
32,year
33,lord
34,’
35,Ascension
36,;
37,Peter
38,heard
39,","
40,approved
41,authority
42,published
43,church
44,read
45,.
46,Baronius
47,others
48,say
49,original
50,written
51,Latin
52,:
53,general
54,opinion
55,Evangelist
56,wrote
57,Greek
58,.
59,Mark
60,Chapter
61,1
62,preaching
63,John
64,Baptist
65,.
66,Christ
67,baptized
68,.
69,call
70,disciple
71,work
72,many
73,miracle
74,.
75,1:1
76,.
77,beginning
78,gospel
79,Jesus
80,Christ
81,","
82,Son
83,God
84,.
85,1:2
86,.
87,written
88,Isaias
89,prophet
90,:
91,Behold
92,send
93,angel
94,thy
95,face
96,","
97,shall
98,prepare
99,way
100,thee
101,.
102,1:3
103,.
104,voice
105,one
106,cry
107,desert
108,:
109,Prepare
110,ye
111,way
112,Lord
113,;
114,make
115,straight
116,path
117,.
118,1:4
119,.
120,John
121,desert
122,","
123,baptizing
124,preaching
125,baptism
126,penance
127,","
128,unto
129,remission
130,sin
131,.
132,1:5
133,.
134,went
135,country
136,Judea
137,Jerusalem
138,baptized
139,river
140,Jordan
141,","
142,confessing
143,sin
144,.
145,1:6
146,.
147,John
148,clothed
149,camel
150,’
151,hair
152,","
153,leathern
154,girdle
155,loin
156,:
157,ate
158,locust
159,wild
160,honey
161,.
162,1:7
163,.
164,preached
165,","
166,saying
167,:
168,cometh
169,one
170,mightier
171,","
172,latchet
173,whose
174,shoe
175,worthy
176,stoop
177,loose
178,.
179,1:8
180,.
181,baptized
182,water
183,:
184,shall
185,baptize
186,Holy
187,Ghost
188,.
189,1:9
190,.
191,came
192,pas
193,","
194,day
195,","
196,Jesus
197,came
198,Nazareth
199,Galilee
200,baptized
201,John
202,Jordan
203,.
204,1:10
205,.
206,forthwith
207,coming
208,water
209,","
210,saw
211,heaven
212,opened
213,","
214,Spirit
215,dove
216,descending
217,remaining
218,.
219,1:11
220,.
221,came
222,voice
223,heaven
224,:
225,Thou
226,art
227,beloved
228,Son
229,;
230,thee
231,well
232,pleased
233,.
234,1:12
235,.
236,immediately
237,Spirit
238,drove
239,desert
240,.
241,1:13
242,.
243,desert
244,forty
245,day
246,forty
247,night
248,","
249,tempted
250,Satan
251,.
252,beast
253,:
254,angel
255,ministered
256,.
257,1:14
258,.
259,John
260,delivered
261,","
262,Jesus
263,came
264,Galilee
265,","
266,preaching
267,gospel
268,kingdom
269,God
270,","
271,1:15
272,.
273,saying
274,:
275,time
276,accomplished
277,kingdom
278,God
279,hand
280,.
281,Repent
282,believe
283,gospel
284,:
285,1:16
286,.
287,passing
288,sea
289,Galilee
290,","
291,saw
292,Simon
293,Andrew
294,brother
295,","
296,casting
297,net
298,sea
299,fisherman
300,.
301,1:17
302,.
303,Jesus
304,said
305,:
306,Come
307,;
308,make
309,become
310,fisher
311,men
312,.
313,1:18
314,.
315,immediately
316,leaving
317,net
318,","
319,followed
320,.
321,1:19
322,.
323,going
324,thence
325,little
326,farther
327,","
328,saw
329,James
330,son
331,Zebedee
332,John
333,brother
334,","
335,also
336,mending
337,net
338,ship
339,:
340,1:20
341,.
342,forthwith
343,called
344,.
345,leaving
346,father
347,Zebedee
348,ship
349,hired
350,men
351,","
352,followed
353,.
354,1:21
355,.
356,entered
357,Capharnaum
358,:
359,forthwith
360,upon
361,sabbath
362,day
363,going
364,synagogue
365,","
366,taught
367,.
368,1:22
369,.
370,astonished
371,doctrine
372,.
373,teaching
374,one
375,power
376,","
377,scribe
378,.
379,1:23
380,.
381,synagogue
382,man
383,unclean
384,spirit
385,;
386,cried
387,","
388,1:24
389,.
390,Saying
391,:
392,thee
393,","
394,Jesus
395,Nazareth
396,?
397,Art
398,thou
399,come
400,destroy
401,u
402,?
403,know
404,thou
405,art
406,","
407,Holy
408,One
409,God
410,.
411,1:25
412,.
413,Jesus
414,threatened
415,","
416,saying
417,:
418,Speak
419,","
420,go
421,man
422,.
423,1:26
424,.
425,unclean
426,spirit
427,","
428,tearing
429,cry
430,loud
431,voice
432,","
433,went
434,.
435,1:27
436,.
437,amazed
438,insomuch
439,questioned
440,among
441,","
442,saying
443,:
444,thing
445,?
446,new
447,doctrine
448,?
449,power
450,commandeth
451,even
452,unclean
453,spirit
454,:
455,obey
456,.
457,1:28
458,.
459,fame
460,spread
461,forthwith
462,country
463,Galilee
464,.
465,1:29
466,.
467,immediately
468,going
469,synagogue
470,came
471,house
472,Simon
473,Andrew
474,","
475,James
476,John
477,.
478,1:30
479,.
480,Simon
481,’
482,wife
483,’
484,mother
485,lay
486,fit
487,fever
488,:
489,forthwith
490,tell
491,.
492,1:31
493,.
494,coming
495,","
496,lifted
497,","
498,taking
499,hand
500,;
501,immediately
502,fever
503,left
504,","
505,ministered
506,unto
507,.
508,1:32
509,.
510,evening
511,","
512,sunset
513,","
514,brought
515,ill
516,possessed
517,devil
518,.
519,1:33
520,.
521,city
522,gathered
523,together
524,door
525,.
526,1:34
527,.
528,healed
529,many
530,troubled
531,diver
532,disease
533,.
534,cast
535,many
536,devil
537,:
538,suffered
539,speak
540,","
541,knew
542,.
543,1:35
544,.
545,rising
546,early
547,","
548,going
549,","
550,went
551,desert
552,place
553,:
554,prayed
555,.
556,1:36
557,.
558,Simon
559,followed
560,.
561,1:37
562,.
563,found
564,","
565,said
566,:
567,seek
568,thee
569,.
570,1:38
571,.
572,saith
573,:
574,Let
575,u
576,go
577,neighbouring
578,town
579,city
580,","
581,may
582,preach
583,also
584,;
585,purpose
586,come
587,.
588,1:39
589,.
590,preaching
591,synagogue
592,Galilee
593,casting
594,devil
595,.
596,1:40
597,.
598,came
599,leper
600,","
601,beseeching
602,kneeling
603,","
604,said
605,:
606,thou
607,wilt
608,thou
609,canst
610,make
611,clean
612,.
613,1:41
614,.
615,Jesus
616,","
617,compassion
618,","
619,stretched
620,forth
621,hand
622,touching
623,saith
624,:
625,.
626,thou
627,made
628,clean
629,.
630,1:42
631,.
632,spoken
633,","
634,immediately
635,leprosy
636,departed
637,:
638,made
639,clean
640,.
641,1:43
642,.
643,strictly
644,charged
645,forthwith
646,sent
647,away
648,.
649,1:44
650,.
651,saith
652,:
653,See
654,thou
655,tell
656,one
657,;
658,go
659,","
660,shew
661,thyself
662,high
663,priest
664,offer
665,thy
666,cleansing
667,thing
668,Moses
669,commanded
670,","
671,testimony
672,.
673,1:45
674,.
675,gone
676,","
