,lemmatised_Matthew
0,HOLY
1,GOSPEL
2,JESUS
3,CHRIST
4,ACCORDING
5,SAINT
6,MATTHEW
7,Saint
8,Matthew
9,","
10,one
11,twelve
12,Apostles
13,","
14,publican
15,","
16,","
17,taxgatherer
18,","
19,called
20,Saviour
21,Apostleship
22,:
23,profession
24,name
25,Levi
26,.
27,(
28,Luke
29,5.27
30,","
31,Mark
32,2.14
33,.
34,)
35,first
36,Evangelists
37,wrote
38,Gospel
39,","
40,Hebrew
41,Syro-Chaldaic
42,Jews
43,Palestine
44,spoke
45,time
46,.
47,original
48,extant
49,;
50,translated
51,time
52,Apostles
53,Greek
54,","
55,version
56,equal
57,authority
58,.
59,wrote
60,six
61,year
62,Lord
63,’
64,Ascension
65,.
66,Matthew
67,Chapter
68,1
69,genealogy
70,Christ
71,:
72,conceived
73,born
74,virgin
75,.
76,1:1
77,.
78,book
79,generation
80,Jesus
81,Christ
82,","
83,son
84,David
85,","
86,son
87,Abraham
88,:
89,1:2
90,.
91,Abraham
92,begot
93,Isaac
94,.
95,Isaac
96,begot
97,Jacob
98,.
99,Jacob
100,begot
101,Judas
102,brother
103,.
104,1:3
105,.
106,Judas
107,begot
108,Phares
109,Zara
110,Thamar
111,.
112,Phares
113,begot
114,Esron
115,.
116,Esron
117,begot
118,Aram
119,.
120,1:4
121,.
122,Aram
123,begot
124,Aminadab
125,.
126,Aminadab
127,begot
128,Naasson
129,.
130,Naasson
131,begot
132,Salmon
133,.
134,1:5
135,.
136,Salmon
137,begot
138,Booz
139,Rahab
140,.
141,Booz
142,begot
143,Obed
144,Ruth
145,.
146,Obed
147,begot
148,Jesse
149,.
150,1:6
151,.
152,Jesse
153,begot
154,David
155,king
156,.
157,David
158,king
159,begot
160,Solomon
161,","
162,wife
163,Urias
164,.
165,1:7
166,.
167,Solomon
168,begot
169,Roboam
170,.
171,Roboam
172,begot
173,Abia
174,.
175,Abia
176,begot
177,Asa
178,.
179,1:8
180,.
181,Asa
182,begot
183,Josaphat
184,.
185,Josaphat
186,begot
187,Joram
188,.
189,Joram
190,begot
191,Ozias
192,.
193,1:9
194,.
195,Ozias
196,begot
197,Joatham
198,.
199,Joatham
200,begot
201,Achaz
202,.
203,Achaz
204,begot
205,Ezechias
206,.
207,1:10
208,.
209,Ezechias
210,begot
211,Manasses
212,.
213,Manasses
214,begot
215,Amon
216,.
217,Amon
218,begot
219,Josias
220,.
221,1:11
222,.
223,Josias
224,begot
225,Jechonias
226,brother
227,transmigration
228,Babylon
229,.
230,1:12
231,.
232,transmigration
233,Babylon
234,","
235,Jechonias
236,begot
237,Salathiel
238,.
239,Salathiel
240,begot
241,Zorobabel
242,.
243,1:13
244,.
245,Zorobabel
246,begot
247,Abiud
248,.
249,Abiud
250,begot
251,Eliacim
252,.
253,Eliacim
254,begot
255,Azor
256,.
257,1:14
258,.
259,Azor
260,begot
261,Sadoc
262,.
263,Sadoc
264,begot
265,Achim
266,.
267,Achim
268,begot
269,Eliud
270,.
271,1:15
272,.
273,Eliud
274,begot
275,Eleazar
276,.
277,Eleazar
278,begot
279,Mathan
280,.
281,Mathan
282,begot
283,Jacob
284,.
285,1:16
286,.
287,Jacob
288,begot
289,Joseph
290,husband
291,Mary
292,","
293,born
294,Jesus
295,","
296,called
297,Christ
298,.
299,husband
300,Mary
301,....
302,Evangelist
303,give
304,u
305,rather
306,pedigree
307,St.
308,Joseph
309,","
310,blessed
311,Virgin
312,","
313,conform
314,custom
315,Hebrews
316,","
317,genealogy
318,took
319,notice
320,woman
321,;
322,near
323,akin
324,","
325,pedigree
326,one
327,sheweth
328,.
329,1:17
330,.
331,generation
332,Abraham
333,David
334,","
335,fourteen
336,generation
337,.
338,David
339,transmigration
340,Babylon
341,","
342,fourteen
343,generation
344,:
345,transmigration
346,Babylon
347,Christ
348,fourteen
349,generation
350,.
351,1:18
352,.
353,generation
354,Christ
355,wise
356,.
357,mother
358,Mary
359,espoused
360,Joseph
361,","
362,came
363,together
364,","
365,found
366,child
367,","
368,Holy
369,Ghost
370,.
371,1:19
372,.
373,Whereupon
374,Joseph
375,husband
376,","
377,man
378,","
379,willing
380,publicly
381,expose
382,","
383,minded
384,put
385,away
386,privately
387,.
388,1:20
389,.
390,thought
391,thing
392,","
393,behold
394,Angel
395,Lord
396,appeared
397,sleep
398,","
399,saying
400,:
401,Joseph
402,","
403,son
404,David
405,","
406,fear
407,take
408,unto
409,thee
410,Mary
411,thy
412,wife
413,","
414,conceived
415,","
416,Holy
417,Ghost
418,.
419,1:21
420,.
421,shall
422,bring
423,forth
424,son
425,:
426,thou
427,shalt
428,call
429,name
430,Jesus
431,.
432,shall
433,save
434,people
435,sin
436,.
437,1:22
438,.
439,done
440,might
441,fulfilled
442,Lord
443,spoke
444,prophet
445,","
446,saying
447,:
448,1:23
449,.
450,Behold
451,virgin
452,shall
453,child
454,","
455,bring
456,forth
457,son
458,","
459,shall
460,call
461,name
462,Emmanuel
463,","
464,interpreted
465,","
466,God
467,u
468,.
469,1:24
470,.
471,Joseph
472,rising
473,sleep
474,","
475,angel
476,Lord
477,commanded
478,","
479,took
480,unto
481,wife
482,.
483,1:25
484,.
485,knew
486,till
487,brought
488,forth
489,first
490,born
491,son
492,:
493,called
494,name
495,Jesus
496,.
497,Till
498,brought
499,forth
500,firstborn
501,son
502,....
503,word
504,Helvidius
505,heretic
506,impiously
507,inferred
508,blessed
509,Virgin
510,Mary
511,child
512,besides
513,Christ
514,;
515,St.
516,Jerome
517,shews
518,","
519,diver
520,example
521,","
522,expression
523,Evangelist
524,manner
525,speaking
526,usual
527,among
528,Hebrews
529,","
530,denote
531,word
532,","
533,done
534,","
535,without
536,regard
537,future
538,.
539,Thus
540,said
541,","
542,Genesis
543,8
544,.
545,6
546,7
547,","
548,Noe
549,sent
550,forth
551,raven
552,","
553,went
554,forth
555,","
556,return
557,till
558,water
559,dried
560,earth
561,.
562,","
563,return
564,.
565,Also
566,Isaias
567,46
568,.
569,4
570,","
571,God
572,say
573,:
574,till
575,grow
576,old
577,.
578,dare
579,infer
580,God
581,cease
582,:
583,Also
584,first
585,book
586,Machabees
587,5
588,.
589,54
590,","
591,went
592,mount
593,Sion
594,joy
595,gladness
596,","
597,offered
598,holocaust
599,","
600,one
601,slain
602,till
603,returned
604,peace
605,.
606,","
607,one
608,slain
609,returned
610,.
611,God
612,saith
613,divine
614,Son
615,:
616,Sit
617,right
618,hand
619,till
620,make
621,thy
622,enemy
623,thy
624,footstool
625,.
626,Shall
627,sit
628,longer
629,enemy
630,subdued
631,?
632,Yea
633,eternity
634,.
635,St.
636,Jerome
637,also
638,prof
639,Scripture
640,example
641,","
642,begotten
643,son
644,","
645,also
